Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Lansing Mich.,Insurance: Property and Casualty (Mutual),Jeffrey S. Tagsold,https://www.auto-owners.com,Private,,$10007.4,$1352.4,$,6141,$10007.4,$1352.4,$27134.8,$12443,13.5%,5%,10.9%,-,-,-,-,-,-,-,
U.S.,Calhoun Ga.,Home Equipment Furnishings,Jeffrey S. Lorberbaum,https://www.mohawkind.com,Public,MHK,$9970.7,$744.2,$5464.3,41800,$9970.7,$744.2,$13386.7,$8119.8,7.5%,5.6%,9.2%,10.3,-10.2%,7.3%,-,16.6%,-2.6%,11.1%,
U.S.,Camden N.J.,Food Consumer Products,Mark A. Clouse,https://www.campbellsoupcompany.com,Public,CPB,$9909,$211,$13928.5,19000,$9909,$211,$13148,$1103,2.1%,1.6%,19.1%,0.7,-18.6%,-23%,-10.2%,55.1%,5.3%,7%,
U.S.,New York N.Y.,Apparel,Emanuel Chirico,https://www.pvh.com,Public,PVH,$9909,$417.3,$2746.2,30750,$9909,$417.3,$13631,$5811.5,4.2%,3.1%,7.2%,5.6,-42%,1.2%,6.2%,13.3%,-3.7%,10.1%,
U.S.,Princeton N.J.,Energy,Mauricio Gutierrez,https://www.nrg.com,Public,NRG,$9871,$4438,$6829.8,4577,$9871,$4438,$12531,$1658,45%,35.4%,267.7%,16.81,1832.2%,135.9%,17.2%,0.7%,9.5%,6.5%,
U.S.,Cincinnati Ohio,Commercial Banks,Greg D. Carmichael,https://www.53.com,Public,FITB,$9790,$2512,$10560.3,19869,$9790,$2512,$169369,$21203,25.7%,1.5%,11.8%,3.33,8.8%,14.9%,17.4%,35.2%,11.5%,14.8%,
U.S.,Estero Fla.,Automotive Retailing Services,Paul E. Stone,https://www.hertz.com,Public,HTZ,$9779,$-58,$878,38000,$9779,$-58,$24627,$1769,-0.6%,-0.2%,-3.3%,-0.49,-,-,-,31.9%,-30.7%,-10.4%,
U.S.,Long Island City N.Y.,Telecommunications,Dexter G. Goei,https://www.alticeusa.com,Public,ATUS,$9760.9,$138.9,$14109.5,10700,$9760.9,$138.9,$34108.1,$2270,1.4%,0.4%,6.1%,0.21,600%,-,-,65.5%,-,-,
U.S.,Greenwood Village Colo.,Mining Crude-Oil Production,Thomas R. Palmer,https://www.newmont.com,Public,NEM,$9740,$2805,$36576.6,16600,$9740,$2805,$39974,$21420,28.8%,7%,13.1%,3.81,495.3%,30.2%,3.7%,30.9%,19.9%,0.9%,
U.S.,Houston Texas,Energy,Jack A. Fusco,https://www.cheniere.com,Public,LNG,$9730,$648,$8511.8,1530,$9730,$648,$35492,$-14,6.7%,1.8%,-,2.51,32.1%,-,-,3.2%,-2.8%,38.1%,
U.S.,Raleigh N.C.,Specialty Retailers: Other,Thomas R. Greco,https://www.advanceautoparts.com,Public,AAP,$9709,$486.9,$6461.3,53000,$9709,$486.9,$11248.5,$3549.1,5%,4.3%,13.7%,6.84,19.4%,0.4%,9.2%,1.9%,0.3%,15%,
U.S.,Fremont Calif.,Semiconductors and Other Electronic Components,Timothy M. Archer,https://www.lamresearch.com,Public,LRCX,$9653.6,$2191.4,$34931.6,10700,$9653.6,$2191.4,$12001.3,$4673.9,22.7%,18.3%,46.9%,13.7,4%,30.5%,-,118.3%,32.1%,23.4%,
U.S.,Mechanicsville Va.,Wholesalers: Health Care,Edward A. Pesicka,https://www.owens-minor.com,Public,OMI,$9650,$-62.4,$576.9,15400,$9650,$-62.4,$3643.1,$462.2,-0.6%,-1.7%,-13.5%,-1.03,-,-,-,-17.3%,-29.7%,-13.2%,
U.S.,New York N.Y.,Insurance: Life Health (stock),Mark Pearson,https://www.equitableholdings.com,Public,EQH,$9591,$-1733,$6706.9,10100,$9591,$-1733,$249870,$13535,-18.1%,-0.7%,-12.8%,-3.51,-207.3%,-,-,53%,-,-,
U.S.,Chicago Ill.,Food Consumer Products,Sean M. Connolly,https://www.conagrabrands.com,Public,CAG,$9538.4,$678.3,$14290.8,18000,$9538.4,$678.3,$22213.8,$7384.6,7.1%,3.1%,9.2%,1.52,-23.2%,16.8%,-3.4%,65.5%,7%,10.1%,
U.S.,Glen Allen Va.,Insurance: Property and Casualty (Stock),Thomas S. Gayner/Richard R. Whitt III,https://www.markelcorp.com,Public,MKL,$9526.2,$1790.5,$12787.1,18600,$9526.2,$1790.5,$37473.8,$11070.9,18.8%,4.8%,16.2%,129.07,-,42.1%,20.2%,10.1%,10.9%,12.9%,
U.S.,Des Peres Mo.,Securities,Penny Pennington,https://www.edwardjones.com,Private,,$9526,$1092,$,49000,$9526,$1092,$19317,$3364,11.5%,5.7%,32.5%,-,-,-,-,-,-,-,
U.S.,Austin Minn.,Food Consumer Products,James P. Snee,https://www.hormelfoods.com,Public,HRL,$9497.3,$978.8,$25081.9,18800,$9497.3,$978.8,$8109,$5921.5,10.3%,12.1%,16.5%,1.8,-3.2%,10.1%,11%,7.8%,13.7%,18.8%,
U.S.,McLean Va.,Hotels Casinos Resorts,Christopher J. Nassetta,https://www.hilton.com,Public,HLT,$9452,$881,$18933,173000,$9452,$881,$14957,$-482,9.3%,5.9%,-,3.04,21.6%,8.3%,-,55.4%,16.4%,-,
U.S.,Downers Grove Ill.,Wholesalers: Diversified,David C. Jukes,https://www.univarsolutions.com,Public,UNVR,$9443.8,$-100.2,$1810.4,10300,$9443.8,$-100.2,$6494.8,$1732.8,-1.1%,-1.5%,-5.8%,-0.61,-150.4%,-,-,36.6%,-,-,
U.S.,Stamford Conn.,Equipment Leasing,Matthew J. Flannery,https://www.unitedrentals.com,Public,URI,$9351,$1174,$7622.6,19100,$9351,$1174,$18970,$3830,12.6%,6.2%,30.7%,15.11,15.2%,24%,-,62.7%,10.3%,32.8%,
U.S.,Irving Texas,Mining Crude-Oil Production,Scott D. Sheffield,https://www.pxd.com,Public,PXD,$9304,$756,$11624.9,2323,$9304,$756,$19067,$12119,8.1%,4%,6.2%,4.5,-21.1%,-6.7%,-,15.7%,0.5%,12.3%,
U.S.,Brentwood Tenn.,Petroleum Refining,Ezra Uzi Yemin,https://www.delekus.com,Public,DK,$9298.2,$310.6,$1190.1,3707,$9298.2,$310.6,$7016.3,$1666.3,3.3%,4.4%,18.6%,4.06,2.8%,3.9%,-,6.7%,7.1%,-,
U.S.,Kingsport Tenn.,Chemicals,Mark J. Costa,https://www.eastman.com,Public,EMN,$9273,$759,$6330,14500,$9273,$759,$16008,$5958,8.2%,4.7%,12.7%,5.48,-27.5%,2%,19.5%,12%,3.5%,12.8%,
U.S.,Norwalk Conn.,Engineering Construction,Anthony J. Guzzi,https://www.emcorgroup.com,Public,EME,$9174.6,$325.1,$3449.8,36000,$9174.6,$325.1,$4830.4,$2057.1,3.5%,6.7%,15.8%,5.75,18.6%,17.9%,9.2%,45.2%,14.8%,13%,
U.S.,Parsippany N.J.,Automotive Retailing Services,Joseph A. Ferraro,https://www.avisbudgetgroup.com,Public,CAR,$9172,$302,$966.6,25600,$9172,$302,$23126,$656,3.3%,1.3%,46%,3.98,93.2%,12.4%,-,43.4%,-13.4%,9.4%,
U.S.,Lowell Ark.,Trucking Truck Leasing,John N. Roberts III,https://www.jbhunt.com,Public,JBHT,$9165.3,$516.3,$9800.3,29056,$9165.3,$516.3,$5470.9,$2267,5.6%,9.4%,22.8%,4.77,7.7%,8.6%,16.3%,26.8%,7.8%,14.9%,
U.S.,Norwalk Conn.,Computers Office Equipment,John G. Visentin,https://www.xerox.com,Public,XRX,$9145,$1353,$4030.2,27000,$9145,$1353,$15047,$5801,14.8%,9%,23.3%,5.8,320.3%,11.3%,10.2%,92.5%,2.1%,7.3%,
U.S.,Boston Mass.,Internet Services and Retailing,Niraj S. Shah,https://www.wayfair.com,Public,W,$9127.1,$-984.6,$5042.7,16985,$9127.1,$-984.6,$2953,$-944.2,-10.8%,-33.3%,-,-10.68,-,-,-,0.3%,35.4%,-,
U.S.,New York N.Y.,Securities,Henry R. Kravis/George R. Roberts,https://www.kkr.com,Public,KKR,$9120.3,$2005,$19912.6,1384,$9120.3,$2005,$60899.3,$10807.5,22%,3.3%,18.6%,3.54,71.8%,25%,-,51.6%,9%,-,
U.S.,Duluth Ga.,Construction and Farm Machinery,Martin H. Richenhagen,https://www.agcocorp.com,Public,AGCO,$9041.4,$125.2,$3546.3,20961,$9041.4,$125.2,$7759.7,$2853.8,1.4%,1.6%,4.4%,1.63,-54.5%,-17.9%,1.2%,40%,12.4%,9.8%,
U.S.,New York N.Y.,Insurance: Property and Casualty (Stock),Weston M. Hicks,https://www.alleghany.com,Public,Y,$9040.7,$857.8,$7923.5,10786,$9040.7,$857.8,$26931.6,$8776.7,9.5%,3.2%,9.8%,59.39,2166.8%,7.5%,7.6%,28.3%,11.9%,11.8%,
U.S.,New York N.Y.,Diversified Financials,Keith Cozza,https://www.ielp.com,Public,IEP,$8992,$-1098,$10365.7,28033,$8992,$-1098,$24639,$5456,-12.2%,-4.5%,-20.1%,-5.38,-146.9%,-,-,20.9%,2.3%,12.2%,
U.S.,New York N.Y.,Diversified Financials,Rodney O. Martin Jr.,https://www.voya.com,Public,VOYA,$8942,$-351,$5366.2,6000,$8942,$-351,$169051,$9408,-3.9%,-0.2%,-3.7%,-2.58,-149.6%,-,-,52.8%,7.8%,-,
U.S.,Miami Fla.,Trucking Truck Leasing,Robert E. Sanchez,https://www.ryder.com,Public,R,$8925.8,$-24.4,$1380.7,39900,$8925.8,$-24.4,$14475.3,$2476.3,-0.3%,-0.2%,-1%,-0.47,-109.1%,-,-,17.3%,-7.6%,5.4%,
U.S.,Allentown Pa.,Chemicals,Seifi Ghasemi,https://www.airproducts.com,Public,APD,$8918.9,$1760,$44049.6,17570,$8918.9,$1760,$18942.8,$11053.6,19.7%,9.3%,15.9%,7.94,17.1%,11.5%,10.4%,50.1%,15.1%,15.2%,
U.S.,Tampa Fla.,Chemicals,James C. O'Rourke,https://www.mosaicco.com,Public,MOS,$8906.3,$-1067.4,$4098.2,12600,$8906.3,$-1067.4,$19298.5,$9185.5,-12%,-5.5%,-11.6%,-2.78,-327.9%,-,-,-25.3%,-12.1%,-8.2%,
U.S.,Newport News Va.,Aerospace & Defense,C. Michael Petters,https://www.huntingtoningalls.com,Public,HII,$8899,$549,$7420.3,42000,$8899,$549,$7031,$1588,6.2%,7.8%,34.6%,13.26,-30.5%,14.1%,-,34%,19%,-,
U.S.,Evansville Ind.,Packaging Containers,Thomas E. Salmon,https://www.berryglobal.com,Public,BERY,$8878,$404,$4463,48000,$8878,$404,$16469,$1618,4.6%,2.5%,25%,3,-18.3%,42.5%,-,-0.1%,8.5%,-,
U.S.,Glenview Ill.,Wholesalers: Electronics and Office Equipment,William A. Galvin,https://www.anixter.com,Private,,$8845.6,$262.9,$2972.7,9400,$8845.6,$262.9,$4808.9,$1860.9,3%,5.5%,14.1%,7.67,67.5%,5.6%,-,69.6%,0.8%,9%,
U.S.,Seattle Wash.,Airlines,Bradley D. Tilden,https://www.alaskaair.com,Public,ALK,$8781,$769,$3490,24134,$8781,$769,$12993,$4331,8.8%,5.9%,17.8%,6.19,75.9%,7%,22.1%,13.9%,4.3%,24.1%,
U.S.,Plano Texas,Food Services,Joey Wat,https://ir.yumchina.com,Public,YUMC,$8776,$713,$16033.2,450000,$8776,$713,$6950,$3077,8.1%,10.3%,23.2%,1.84,2.8%,-,-,44.7%,-,-,
U.S.,Coraopolis Pa.,Specialty Retailers: Other,Edward W. Stack,https://www.dickssportinggoods.com,Public,DKS,$8750.7,$297.5,$1848.3,28450,$8750.7,$297.5,$6628.6,$1731.6,3.4%,4.5%,17.2%,3.34,3.1%,3.3%,11.3%,63.1%,1.9%,9.1%,
U.S.,Las Vegas Nev.,Hotels Casinos Resorts,Thomas R. Reeg,https://www.caesars.com,Private,,$8742,$-1195,$4612.1,64000,$8742,$-1195,$25345,$2131,-13.7%,-4.7%,-56.1%,-1.77,-,-,-,100.3%,-2.8%,-,
U.S.,Richmond Va.,Insurance: Life Health (stock),Thomas J. McInerney,https://www.genworth.com,Public,GNW,$8681,$343,$1675.8,3100,$8681,$343,$101342,$14185,4%,0.3%,2.4%,0.67,179.2%,-,-,-5.6%,-12.3%,-9%,
U.S.,Houston Texas,Pipelines,Joe Bob Perkins,https://www.targaresources.com,Public,TRGP,$8671.1,$-209.2,$1610.8,2680,$8671.1,$-209.2,$18815.1,$5199.6,-2.4%,-1.1%,-4%,-1.44,-,-,-,24.2%,-10.5%,-,
U.S.,New York N.Y.,Household and Personal Products,Peter Harf,https://www.coty.com,Public,COTY,$8648.5,$-3784.2,$3924.4,19000,$8648.5,$-3784.2,$17665.4,$4586.9,-43.8%,-21.4%,-82.5%,-5.04,-,-,-,79.2%,-9%,-,
U.S.,Maumee Ohio,Motor Vehicles & Parts,James K. Kamsickas,https://www.dana.com,Public,DAN,$8620,$226,$1128.2,36300,$8620,$226,$7220,$1873,2.6%,3.1%,12.1%,1.56,-46.4%,-3.2%,-,36.9%,-1.8%,6.6%,
U.S.,Minneapolis Minn.,Insurance: Life Health (Mutual),Teresa J. Rasmussen,https://www.thrivent.com,Private,,$8611.7,$968.1,$,3235,$8611.7,$968.1,$102478.3,$10064.8,11.2%,0.9%,9.6%,-,-,-,-,-,-,-,
U.S.,Auburn Hills Mich.,Motor Vehicles & Parts,Mikael Bratt,https://www.autoliv.com,Public,ALV,$8547.6,$461.5,$4017.4,61957,$8547.6,$461.5,$6771.2,$2109.2,5.4%,6.8%,21.9%,5.29,142.7%,0.9%,46%,24.2%,4.5%,13.1%,
U.S.,Byron Center Mich.,Wholesalers: Food and Grocery,Dennis Eidson,https://www.spartannash.com,Public,SPTN,$8536.1,$5.7,$520.5,13800,$8536.1,$5.7,$2275.6,$687.5,0.1%,0.3%,0.8%,0.16,-82.8%,-36.5%,-21.4%,-12.2%,-8.6%,2.4%,
U.S.,Springfield Mass.,Utilities: Gas and Electric,James J. Judge,https://www.eversource.com,Public,ES,$8526.5,$909.1,$25835.3,8234,$8526.5,$909.1,$41123.9,$12630,10.7%,2.2%,7.2%,2.81,-13.5%,1.7%,3.9%,34.4%,13.2%,16.4%,
U.S.,Orlando Fla.,Food Services,Eugene I. Lee Jr.,https://www.darden.com,Public,DRI,$8510.4,$713.4,$6580,184514,$8510.4,$713.4,$5892.8,$2392.6,8.4%,12.1%,29.8%,5.69,20.3%,21.5%,7.9%,12.3%,19.5%,17.2%,
U.S.,Oklahoma City Okla.,Mining Crude-Oil Production,Robert D. Lawler,https://www.chk.com,Public,CHKAQ,$8489,$-308,$337.7,2300,$8489,$-308,$16193,$4364,-3.6%,-1.9%,-7.1%,-50,-129.4%,-,-,-60.7%,-46.8%,-28.2%,
U.S.,Houston Texas,Oil and Gas Equipment Services,Clay C. Williams,https://www.nov.com,Public,NOV,$8479,$-6095,$3793.9,34645,$8479,$-6095,$13149,$7778,-71.9%,-46.4%,-78.4%,-15.96,-,-,-,-1.7%,-16.1%,-3.2%,
U.S.,Jacksonville Fla.,Insurance: Property and Casualty (Stock),Raymond R. Quirk,https://www.fnf.com,Public,FNF,$8469,$1062,$6854.3,23484,$8469,$1062,$10677,$5382,12.5%,9.9%,19.7%,3.83,69.5%,-,-,48.7%,15.8%,-,
U.S.,Erie Pa.,Insurance: Property and Casualty (Mutual),Timothy G. NeCastro,https://www.erieinsurance.com,Private,,$8443.3,$551,$,5778,$8443.3,$551,$23346.7,$10618.5,6.5%,2.4%,5.2%,-,-,-,-,-,-,-,
U.S.,Oshkosh Wis.,Construction and Farm Machinery,Wilson R. Jones,https://www.oshkoshcorporation.com,Public,OSK,$8382,$579.4,$4394.4,15400,$8382,$579.4,$5566.3,$2599.8,6.9%,10.4%,22.3%,8.21,30.5%,17.9%,-,56.6%,15.9%,10.8%,
U.S.,Ankeny Iowa,Specialty Retailers: Other,Darren M. Rebelez,https://www.caseys.com,Public,CASY,$8364.9,$203.9,$4874.8,26866,$8364.9,$203.9,$3731.4,$1408.8,2.4%,5.5%,14.5%,5.51,-33.9%,11.1%,12.6%,25.1%,12.9%,18.6%,
U.S.,Pittsburgh Pa.,Wholesalers: Diversified,John J. Engel,https://www.wesco.com,Public,WCC,$8358.9,$223.4,$956.8,9500,$8358.9,$223.4,$5017.6,$2265.5,2.7%,4.5%,9.9%,5.14,6.6%,-0.2%,7.6%,23.7%,-4.9%,8.2%,
U.S.,Brentwood Tenn.,Specialty Retailers: Other,Harry A. Lawton III,https://www.tractorsupply.com,Public,TSCO,$8351.9,$562.4,$9809.9,24000,$8351.9,$562.4,$5289.3,$1567.1,6.7%,10.6%,35.9%,4.66,8.1%,11.9%,19.5%,13.5%,4.8%,22.9%,
U.S.,Hickory N.C.,Network and Other Communications Equipment,Marvin S. Edwards Jr.,https://www.commscope.com,Public,COMM,$8345.1,$-929.5,$1779,30000,$8345.1,$-929.5,$14431.6,$836.3,-11.1%,-6.4%,-111.1%,-5.02,-797.2%,-,-,-13.4%,-9.1%,-,
U.S.,The Woodlands Texas,Chemicals,Peter R. Huntsman,https://www.huntsman.com,Public,HUN,$8342,$562,$3217.2,10000,$8342,$562,$8320,$2687,6.7%,6.8%,20.9%,2.44,75.5%,13.2%,17.7%,28.9%,4.1%,11%,
U.S.,Cincinnati Ohio,Insurance: Property and Casualty (Stock),Carl H. Lindner lll/S. Craig Lindner,https://www.afginc.com,Public,AFG,$8237,$897,$6331,7700,$8237,$897,$70130,$6269,10.9%,1.3%,14.3%,9.85,68.4%,14.7%,8.3%,27.1%,17%,19.8%,
U.S.,Livonia Mich.,Home Equipment Furnishings,Keith J. Allman,https://www.masco.com,Public,MAS,$8235,$935,$9118,22000,$8235,$935,$5027,$-235,11.4%,18.6%,-,3.22,35.9%,6.2%,-,66.2%,18.1%,16.6%,
U.S.,San Jose Calif.,Semiconductors and Other Electronic Components,Hartmut Liebel,https://www.sanmina.com,Public,SANM,$8233.9,$141.5,$1927.2,38500,$8233.9,$141.5,$3905.5,$1642.6,1.7%,3.6%,8.6%,1.97,-,-2.8%,-,42.3%,7.8%,12%,
U.S.,Wallingford Conn.,Network and Other Communications Equipment,R. Adam Norwitt,https://www.amphenol.com,Public,APH,$8225.4,$1155,$21725.6,74000,$8225.4,$1155,$10815.5,$4530.3,14%,10.7%,25.5%,3.75,-2.6%,11.2%,15.1%,34.9%,16.1%,17.6%,
U.S.,Tulsa Okla.,Pipelines,Alan S. Armstrong,https://www.williams.com,Public,WMB,$8201,$850,$17165.7,4812,$8201,$850,$46040,$13363,10.4%,1.8%,6.4%,0.7,-,-24.8%,3.6%,14.1%,-6.5%,8.3%,
U.S.,Pittsburgh Pa.,Industrial Machinery,Rafael O. Santana,https://www.wabteccorp.com,Public,WAB,$8200,$326.7,$9227.1,27500,$8200,$326.7,$18944.2,$9956.5,4%,1.7%,3.3%,1.84,-39.7%,-12.7%,4.4%,11.5%,-1.7%,14.7%,
U.S.,Seattle Wash.,Transportation and Logistics,Jeffrey S. Musser,https://www.expeditors.com,Public,EXPD,$8175.4,$590.4,$11208.2,18000,$8175.4,$590.4,$3691.9,$2195,7.2%,16%,26.9%,3.39,-2.6%,12%,11.8%,16.1%,13.4%,9.9%,
U.S.,Maumee Ohio,Food Production,Patrick E. Bowe,https://www.andersonsinc.com,Public,ANDE,$8170.2,$18.3,$628.7,2284,$8170.2,$18.3,$3900.7,$973.6,0.2%,0.5%,1.9%,0.55,-62.3%,-32.2%,-8.8%,-13.2%,-12.1%,5.5%,
U.S.,Houston Texas,Chemicals,Albert Yuan Chao,https://www.westlake.com,Public,WLK,$8118,$421,$4900.8,9430,$8118,$421,$13261,$5860,5.2%,3.2%,7.2%,3.25,-57.3%,-8.5%,23.3%,7.7%,4.1%,20.6%,
U.S.,Victor N.Y.,Beverages,William A. Newlands,https://www.cbrands.com,Public,STZ,$8116,$3435.9,$27601.3,9800,$8116,$3435.9,$29231.5,$12551,42.3%,11.8%,27.4%,-,-,-,-,19.9%,15.4%,28.8%,
U.S.,Norwalk Conn.,Telecommunications,Bernard L. Han,https://www.frontier.com,Public,FTRCQ,$8107,$-5911,$39.9,18317,$8107,$-5911,$17488,$-4394,-72.9%,-33.8%,-,-56.8,-,-,-,-62.6%,-57.9%,-33.1%,
U.S.,Long Island City N.Y.,Airlines,Robin Hayes,https://www.jetblue.com,Public,JBLU,$8094,$569,$2525.7,19032,$8094,$569,$11918,$4799,7%,4.8%,11.9%,1.91,218.3%,9.9%,24.7%,16.6%,3.4%,13.1%,
U.S.,Providence R.I.,Commercial Banks,Bruce W. Van Saun,https://www.citizensbank.com,Public,CFG,$8066,$1791,$8040,17997,$8066,$1791,$165733,$22201,22.2%,1.1%,8.1%,3.81,8.2%,19.7%,-,42%,12.9%,-,
U.S.,St. Petersburg Fla.,Securities,Paul C. Reilly,https://www.raymondjames.com,Public,RJF,$8023,$1034,$8802.7,14200,$8023,$1034,$38830,$6581,12.9%,2.7%,15.7%,7.17,24.7%,16.6%,18.7%,22.2%,10.8%,15.8%,
U.S.,New York N.Y.,Specialty Retailers: Apparel,Richard A. Johnson,https://www.footlocker-inc.com,Public,FL,$8005,$491,$2297.4,33294,$8005,$491,$6589,$2473,6.1%,7.5%,19.9%,4.5,-3.4%,4.8%,31.1%,-24.4%,-4.8%,16.3%,
U.S.,Hershey Pa.,Food Consumer Products,Michele G. Buck,https://www.thehersheycompany.com,Public,HSY,$7986.3,$1149.7,$27791.8,15330,$7986.3,$1149.7,$8140.4,$1739.2,14.4%,14.1%,66.1%,5.46,-2.2%,7.7%,11.1%,40.2%,9.8%,17.9%,
U.S.,Warsaw Ind.,Medical Products and Equipment,Bryan C. Hanson,https://www.zimmerbiomet.com,Public,ZBH,$7982.2,$1131.6,$20891.4,19900,$7982.2,$1131.6,$24638.7,$12388.1,14.2%,4.6%,9.1%,5.47,-,5.4%,5.1%,45.4%,6.5%,10.5%,
U.S.,Fairfield Ohio,Insurance: Property and Casualty (Stock),Steven J. Johnston,https://www.cinfin.com,Public,CINF,$7924.2,$1997.4,$12241.5,5200,$7924.2,$1997.4,$25407.9,$9864.4,25.2%,7.9%,20.2%,12.1,591.4%,30.6%,16.4%,39%,18.8%,19.4%,
U.S.,Cincinnati Ohio,Insurance: Life Health (Mutual),John F. Barrett,https://www.westernsouthern.com,Private,,$7920.5,$244.9,$,2787,$7920.5,$244.9,$54702.7,$5786.8,3.1%,0.4%,4.2%,-,-,-,-,-,-,-,
U.S.,Greenwich Conn.,Insurance: Property and Casualty (Stock),W. Robert Berkley Jr.,https://www.berkley.com,Public,WRB,$7902.2,$681.9,$9569.1,7493,$7902.2,$681.9,$26643.4,$6074.9,8.6%,2.6%,11.2%,3.52,5.6%,1.7%,11%,43.7%,17.7%,17.8%,
U.S.,Chicago Ill.,Network and Other Communications Equipment,Gregory Q. Brown,https://www.motorolasolutions.com,Public,MSI,$7887,$868,$22802.9,17000,$7887,$868,$10642,$-700,11%,8.2%,-,4.95,-11.9%,-1.3%,-,42.3%,21.6%,19.7%,
U.S.,Elkhart Ind.,Motor Vehicles & Parts,Robert W. Martin,https://www.thorindustries.com,Public,THO,$7864.8,$133.3,$2328.3,21750,$7864.8,$133.3,$5660.4,$2084.4,1.7%,2.4%,6.4%,2.47,-69.7%,-5.9%,23.1%,46.4%,7.8%,11.6%,
U.S.,Tarrytown N.Y.,Pharmaceuticals,Leonard S. Schleifer,https://www.regeneron.com,Public,REGN,$7863.4,$2115.8,$53721.6,8100,$7863.4,$2115.8,$14805.2,$11089.7,26.9%,14.3%,19.1%,18.46,-13.3%,44%,-,0.5%,-1.8%,31.6%,
U.S.,Wichita Kans.,Aerospace & Defense,Thomas C. Gentile III,https://www.spiritaero.com,Public,SPR,$7863.1,$530.1,$2506.5,18200,$7863.1,$530.1,$7606,$1761.4,6.7%,7%,30.1%,5.06,-10.4%,14.9%,14%,1.7%,11.5%,14.1%,
U.S.,Orrville Ohio,Food Consumer Products,Mark T. Smucker,https://www.jmsmucker.com,Public,SJM,$7838,$514.4,$12658.2,7400,$7838,$514.4,$16711.3,$7970.5,6.6%,3.1%,6.5%,4.52,-61.6%,-3.6%,3.8%,14.9%,3.3%,8%,
U.S.,Allentown Pa.,Utilities: Gas and Electric,Vincent Sorgi,https://www.pplweb.com,Public,PPL,$7769,$1746,$18949.6,12280,$7769,$1746,$45680,$12991,22.5%,3.8%,13.4%,2.37,-8.1%,-1.9%,8.2%,33.7%,6.2%,6.9%,
U.S.,Tempe Ariz.,Information Technology Services,Kenneth T. Lamneck,https://www.insight.com,Public,NSIT,$7731.2,$159.4,$1485.7,11261,$7731.2,$159.4,$4178.2,$1160.3,2.1%,3.8%,13.7%,4.43,-2.6%,19.3%,19.8%,72.5%,22.1%,19.9%,
U.S.,Secaucus N.J.,Health Care: Pharmacy and Other Services,Stephen H. Rusckowski,https://www.questdiagnostics.com,Public,DGX,$7726,$858,$10716.4,47000,$7726,$858,$12843,$5641,11.1%,6.7%,15.2%,6.28,18.7%,10.5%,5%,31.2%,12%,7.7%,
U.S.,Cleveland Ohio,Commercial Banks,Christopher Gorman,https://www.key.com,Public,KEY,$7694,$1717,$10057.8,17045,$7694,$1717,$144988,$17038,22.3%,1.2%,10.1%,1.62,-5.3%,10.4%,-,42.4%,10.8%,16.3%,
U.S.,Atlanta Ga.,Wholesalers: Diversified,Mary A. Laschinger,https://www.veritivcorp.com,Public,VRTV,$7659.4,$-29.5,$126.9,8000,$7659.4,$-29.5,$2511.1,$536.2,-0.4%,-1.2%,-5.5%,-1.84,-,-,-,-21.2%,-17.6%,-,
U.S.,Denver Colo.,Pipelines,Wouter T. van Kempen,https://www.dcpmidstream.com,Public,DCP,$7625,$17,$847.9,2250,$7625,$17,$14127,$6605,0.2%,0.1%,0.3%,-1.05,-272.1%,-,-,3.5%,-2.5%,6.3%,
U.S.,Boston Mass.,Real estate,Thomas A. Bartlett,https://www.americantower.com,Public,AMT,$7580.3,$1887.8,$96444,5454,$7580.3,$1887.8,$42801.6,$5055.4,24.9%,4.4%,37.3%,4.24,53.1%,16.2%,21.4%,48%,20.7%,19.9%,
U.S.,St. Louis Mo.,Wholesalers: Diversified,Kathleen M. Mazzarella,https://www.graybar.com,Private,,$7523.9,$144.5,$,9000,$7523.9,$144.5,$2517.7,$892.9,1.9%,5.7%,16.2%,6.41,0.6%,10.3%,14.1%,-,-,-,
U.S.,Milwaukee Wis.,Utilities: Gas and Electric,J. Kevin Fletcher,https://www.wecenergygroup.com,Public,WEC,$7523.1,$1134,$27799.2,7509,$7523.1,$1134,$34951.8,$10113.4,15.1%,3.2%,11.2%,3.58,7.2%,6.7%,8.3%,36.9%,15.5%,17.8%,
U.S.,Reston Va.,Homebuilders,Paul C. Saville,https://www.nvrinc.com,Public,NVR,$7428.4,$878.5,$9475,5700,$7428.4,$878.5,$3809.8,$2341.2,11.8%,23.1%,37.5%,221.13,13.5%,28.3%,21.6%,56.3%,24.5%,18.3%,
U.S.,Bolingbrook Ill.,Specialty Retailers: Other,Mary N. Dillon,https://www.ulta.com,Public,ULTA,$7398.1,$705.9,$9893.6,31000,$7398.1,$705.9,$4863.9,$1902.1,9.5%,14.5%,37.1%,12.15,11.1%,25%,33.8%,3.4%,14.6%,30.3%,
